band,band_low,band_high,csp_components,method,chance_mean,majority_mean,mean_acc,std_acc,acc_s1,acc_s2,acc_s3,acc_s4,acc_s5,acc_s6,acc_s7,acc_s8,acc_s9
08-Dec,8,12,2,csp_gaussian_nb,0.5,0.5,0.676697531,0.165509259,0.743055556,0.465277778,0.902777778,0.6875,0.520833333,0.590277778,0.506944444,0.777777778,0.895833333
08-Dec,8,12,4,csp_gaussian_nb,0.5,0.5,0.660493827,0.180470214,0.694444444,0.430555556,0.916666667,0.590277778,0.493055556,0.576388889,0.520833333,0.840277778,0.881944444
08-Dec,8,12,6,csp_gaussian_nb,0.5,0.5,0.673611111,0.152698843,0.736111111,0.465277778,0.826388889,0.645833333,0.527777778,0.645833333,0.506944444,0.847222222,0.861111111
08-Dec,8,12,8,csp_gaussian_nb,0.5,0.5,0.676697531,0.154078706,0.736111111,0.444444444,0.819444444,0.604166667,0.541666667,0.652777778,0.555555556,0.861111111,0.875
Aug-30,8,30,2,csp_gaussian_nb,0.5,0.5,0.707561728,0.163653478,0.708333333,0.576388889,0.902777778,0.701388889,0.506944444,0.611111111,0.541666667,0.916666667,0.902777778
Aug-30,8,30,4,csp_gaussian_nb,0.5,0.5,0.691358025,0.161975021,0.791666667,0.513888889,0.833333333,0.611111111,0.534722222,0.625,0.520833333,0.902777778,0.888888889
Aug-30,8,30,6,csp_gaussian_nb,0.5,0.5,0.689814815,0.14337377,0.715277778,0.576388889,0.756944444,0.659722222,0.555555556,0.604166667,0.527777778,0.916666667,0.895833333
Aug-30,8,30,8,csp_gaussian_nb,0.5,0.5,0.714506173,0.151129223,0.819444444,0.569444444,0.798611111,0.659722222,0.548611111,0.666666667,0.541666667,0.944444444,0.881944444
13-30,13,30,2,csp_gaussian_nb,0.5,0.5,0.713734568,0.126903798,0.8125,0.576388889,0.777777778,0.625,0.611111111,0.631944444,0.618055556,0.847222222,0.923611111
13-30,13,30,4,csp_gaussian_nb,0.5,0.5,0.698302469,0.142788616,0.861111111,0.506944444,0.736111111,0.694444444,0.5625,0.631944444,0.5625,0.833333333,0.895833333
13-30,13,30,6,csp_gaussian_nb,0.5,0.5,0.705246914,0.108925504,0.826388889,0.590277778,0.6875,0.666666667,0.590277778,0.666666667,0.618055556,0.868055556,0.833333333
13-30,13,30,8,csp_gaussian_nb,0.5,0.5,0.721450617,0.11004504,0.840277778,0.5625,0.715277778,0.708333333,0.590277778,0.659722222,0.708333333,0.875,0.833333333
08-Dec,8,12,2,csp_lda,0.5,0.5,0.68132716,0.160416834,0.680555556,0.479166667,0.895833333,0.673611111,0.555555556,0.625,0.5,0.826388889,0.895833333
08-Dec,8,12,4,csp_lda,0.5,0.5,0.667438272,0.195169915,0.680555556,0.416666667,0.9375,0.5625,0.493055556,0.569444444,0.555555556,0.916666667,0.875
08-Dec,8,12,6,csp_lda,0.5,0.5,0.696759259,0.162602354,0.736111111,0.493055556,0.930555556,0.604166667,0.569444444,0.652777778,0.541666667,0.902777778,0.840277778
08-Dec,8,12,8,csp_lda,0.5,0.5,0.680555556,0.165832694,0.722222222,0.486111111,0.875,0.569444444,0.506944444,0.611111111,0.583333333,0.916666667,0.854166667
Aug-30,8,30,2,csp_lda,0.5,0.5,0.712191358,0.173232612,0.715277778,0.486111111,0.909722222,0.708333333,0.583333333,0.618055556,0.534722222,0.944444444,0.909722222
Aug-30,8,30,4,csp_lda,0.5,0.5,0.731481481,0.174442454,0.826388889,0.5,0.888888889,0.708333333,0.555555556,0.722222222,0.520833333,0.951388889,0.909722222
Aug-30,8,30,6,csp_lda,0.5,0.5,0.75154321,0.138357394,0.805555556,0.618055556,0.895833333,0.680555556,0.590277778,0.638888889,0.680555556,0.951388889,0.902777778
Aug-30,8,30,8,csp_lda,0.5,0.5,0.758487654,0.152215576,0.875,0.597222222,0.902777778,0.694444444,0.506944444,0.701388889,0.715277778,0.951388889,0.881944444
13-30,13,30,2,csp_lda,0.5,0.5,0.718364198,0.121682001,0.805555556,0.597222222,0.8125,0.659722222,0.604166667,0.625,0.611111111,0.847222222,0.902777778
13-30,13,30,4,csp_lda,0.5,0.5,0.695216049,0.1315988,0.881944444,0.506944444,0.736111111,0.6875,0.555555556,0.673611111,0.576388889,0.847222222,0.791666667
13-30,13,30,6,csp_lda,0.5,0.5,0.703703704,0.0986991,0.847222222,0.583333333,0.736111111,0.645833333,0.583333333,0.659722222,0.680555556,0.840277778,0.756944444
13-30,13,30,8,csp_lda,0.5,0.5,0.735339506,0.115392996,0.875,0.576388889,0.770833333,0.673611111,0.590277778,0.659722222,0.875,0.833333333,0.763888889
